month_t1,month_t2,birth,death,growth,merge,shrink,stable
2024-11-30,2024-12-31,6.0,5.0,0.0,0.0,0.0,3.0
2024-12-31,2025-01-31,2.0,4.0,0.0,0.0,1.0,4.0
2025-01-31,2025-02-28,5.0,3.0,0.0,0.0,0.0,4.0
2025-02-28,2025-03-31,3.0,4.0,2.0,0.0,0.0,3.0
2025-03-31,2025-04-30,3.0,4.0,1.0,0.0,1.0,2.0
2025-04-30,2025-05-31,8.0,4.0,2.0,0.0,0.0,1.0
2025-05-31,2025-06-30,8.0,8.0,0.0,0.0,1.0,2.0
2025-06-30,2025-07-31,3.0,4.0,4.0,0.0,1.0,2.0
2025-07-31,2025-08-31,5.0,3.0,1.0,2.0,3.0,1.0
2025-08-31,2025-09-30,4.0,6.0,0.0,0.0,2.0,3.0
2025-09-30,2025-10-31,3.0,3.0,3.0,0.0,1.0,2.0
2025-10-31,2025-11-30,2.0,8.0,0.0,0.0,0.0,1.0
