app_id,owners_low,owners_high,snapshot_ts
620,5000000,10000000,2025-11-07 01:02:13.484385+00:00
8930,10000000,20000000,2025-11-07 01:02:14.493752+00:00
105600,20000000,50000000,2025-11-07 01:02:15.502609+00:00
210970,1000000,2000000,2025-11-07 01:02:16.507954+00:00
227300,10000000,20000000,2025-11-07 01:02:17.521527+00:00
236850,5000000,10000000,2025-11-07 01:02:18.588300+00:00
242760,20000000,50000000,2025-11-07 01:02:19.589621+00:00
255710,10000000,20000000,2025-11-07 01:02:20.591656+00:00
257510,1000000,2000000,2025-11-07 01:02:21.613432+00:00
264710,5000000,10000000,2025-11-07 01:02:22.594784+00:00
268910,5000000,10000000,2025-11-07 01:02:23.592896+00:00
270880,2000000,5000000,2025-11-07 01:02:24.580157+00:00
3240220,5000000,10000000,2025-11-07 01:02:25.639292+00:00
275850,5000000,10000000,2025-11-07 01:02:26.635142+00:00
289070,10000000,20000000,2025-11-07 01:02:27.634633+00:00
292030,20000000,50000000,2025-11-07 01:02:28.521391+00:00
294100,5000000,10000000,2025-11-07 01:02:29.513608+00:00
346110,20000000,50000000,2025-11-07 01:02:30.485995+00:00
367520,5000000,10000000,2025-11-07 01:02:31.505901+00:00
374320,5000000,10000000,2025-11-07 01:02:32.527508+00:00
394360,5000000,10000000,2025-11-07 01:02:33.513948+00:00
413150,20000000,50000000,2025-11-07 01:02:34.519614+00:00
427520,5000000,10000000,2025-11-07 01:02:35.536026+00:00
457140,2000000,5000000,2025-11-07 01:02:36.532844+00:00
493340,2000000,5000000,2025-11-07 01:02:37.510337+00:00
504230,2000000,5000000,2025-11-07 01:02:38.501300+00:00
526870,10000000,20000000,2025-11-07 01:02:39.506255+00:00
535930,1000000,2000000,2025-11-07 01:02:40.502343+00:00
548430,5000000,10000000,2025-11-07 01:02:41.496884+00:00
553850,20000000,50000000,2025-11-07 01:02:42.501312+00:00
588650,5000000,10000000,2025-11-07 01:02:43.491505+00:00
601150,5000000,10000000,2025-11-07 01:02:44.479592+00:00
632470,2000000,5000000,2025-11-07 01:02:45.477192+00:00
703080,2000000,5000000,2025-11-07 01:02:46.480085+00:00
739630,10000000,20000000,2025-11-07 01:02:47.756218+00:00
753640,1000000,2000000,2025-11-07 01:02:48.737564+00:00
782330,5000000,10000000,2025-11-07 01:02:49.736472+00:00
814380,10000000,20000000,2025-11-07 01:02:50.730004+00:00
835960,200000,500000,2025-11-07 01:02:51.772431+00:00
848450,2000000,5000000,2025-11-07 01:02:52.756097+00:00
883710,5000000,10000000,2025-11-07 01:02:53.784160+00:00
892970,10000000,20000000,2025-11-07 01:02:54.799906+00:00
949230,2000000,5000000,2025-11-07 01:02:55.838660+00:00
962130,2000000,5000000,2025-11-07 01:02:56.855964+00:00
1086940,20000000,50000000,2025-11-07 01:02:57.854911+00:00
1091500,20000000,50000000,2025-11-07 01:02:58.727560+00:00
1145360,5000000,10000000,2025-11-07 01:02:59.724599+00:00
2561580,50000,100000,2025-11-07 01:03:00.722415+00:00
1158310,2000000,5000000,2025-11-07 01:03:01.707194+00:00
1172620,5000000,10000000,2025-11-07 01:03:02.710881+00:00
1174180,10000000,20000000,2025-11-07 01:03:03.701846+00:00
1196590,2000000,5000000,2025-11-07 01:03:04.781575+00:00
1245620,20000000,50000000,2025-11-07 01:03:05.851173+00:00
1259420,2000000,5000000,2025-11-07 01:03:07.068083+00:00
1272080,2000000,5000000,2025-11-07 01:03:08.081921+00:00
1282100,1000000,2000000,2025-11-07 01:03:09.107306+00:00
1326470,10000000,20000000,2025-11-07 01:03:10.115183+00:00
1363080,2000000,5000000,2025-11-07 01:03:11.154633+00:00
1551360,5000000,10000000,2025-11-07 01:03:12.148885+00:00
1593500,5000000,10000000,2025-11-07 01:03:13.135371+00:00
1623730,50000000,100000000,2025-11-07 01:03:14.125216+00:00
1649080,500000,1000000,2025-11-07 01:03:15.128168+00:00
1716740,2000000,5000000,2025-11-07 01:03:17.121453+00:00
1794680,5000000,10000000,2025-11-07 01:03:18.109736+00:00
1850570,1000000,2000000,2025-11-07 01:03:19.100832+00:00
1888160,2000000,5000000,2025-11-07 01:03:20.105190+00:00
1903340,2000000,5000000,2025-11-07 01:03:21.124270+00:00
2050650,5000000,10000000,2025-11-07 01:03:22.039265+00:00
2054970,2000000,5000000,2025-11-07 01:03:22.917355+00:00
2072450,500000,1000000,2025-11-07 01:03:23.790372+00:00
2669320,5000000,10000000,2025-11-07 01:03:24.669441+00:00
2358720,50000000,100000000,2025-11-07 01:03:25.658686+00:00
2420110,1000000,2000000,2025-11-07 01:03:26.645944+00:00
2488620,500000,1000000,2025-11-07 01:03:27.668136+00:00
2807960,0,20000,2025-11-07 01:03:28.547683+00:00
2933620,0,20000,2025-11-07 01:03:29.561796+00:00
